constructorStandingsId,raceId,racename,raceround,constructorId,name,nationality,wiki,points,position,positionText,wins
8432,315,n°11 - Belgian Grand Prix,11,27,Ligier,#N/A,http://en.wikipedia.org/wiki/Ligier,0,14,14,0
8431,315,n°11 - Belgian Grand Prix,11,41,Leyton House,#N/A,http://en.wikipedia.org/wiki/Leyton_House,1,10,10,0
8430,315,n°11 - Belgian Grand Prix,11,29,Footwork,#N/A,http://en.wikipedia.org/wiki/Footwork_Arrows,0,18,18,0
8429,315,n°11 - Belgian Grand Prix,11,3,Williams,#N/A,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,83,2,2,4
8428,315,n°11 - Belgian Grand Prix,11,32,Team Lotus,#N/A,http://en.wikipedia.org/wiki/Team_Lotus,3,9,9,0
8427,315,n°11 - Belgian Grand Prix,11,34,Brabham,#N/A,http://en.wikipedia.org/wiki/Brabham,1,11,11,0
8426,315,n°11 - Belgian Grand Prix,11,17,Jordan,#N/A,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,13,5,5,0
8425,315,n°11 - Belgian Grand Prix,11,18,Minardi,#N/A,http://en.wikipedia.org/wiki/Minardi,3,8,8,0
8424,315,n°11 - Belgian Grand Prix,11,39,AGS,#N/A,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,0,16,16,0
8423,315,n°11 - Belgian Grand Prix,11,40,Lambo,#N/A,http://en.wikipedia.org/wiki/Modena_(racing_team),0,15,15,0
8422,315,n°11 - Belgian Grand Prix,11,33,Larrousse,#N/A,http://en.wikipedia.org/wiki/Larrousse,1,13,13,0
8421,315,n°11 - Belgian Grand Prix,11,25,Tyrrell,#N/A,http://en.wikipedia.org/wiki/Tyrrell_Racing,11,6,6,0
8420,315,n°11 - Belgian Grand Prix,11,22,Benetton,#N/A,http://en.wikipedia.org/wiki/Benetton_Formula,30,4,4,1
8454,316,n°12 - Italian Grand Prix,12,36,Fondmetal,#N/A,http://en.wikipedia.org/wiki/Fondmetal,0,17,17,0
8453,316,n°12 - Italian Grand Prix,12,42,Coloni,#N/A,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems,0,19,19,0
8452,316,n°12 - Italian Grand Prix,12,35,Dallara,#N/A,http://en.wikipedia.org/wiki/Dallara,5,7,7,0
8451,316,n°12 - Italian Grand Prix,12,27,Ligier,#N/A,http://en.wikipedia.org/wiki/Ligier,0,14,14,0
8450,316,n°12 - Italian Grand Prix,12,41,Leyton House,#N/A,http://en.wikipedia.org/wiki/Leyton_House,1,10,10,0
8449,316,n°12 - Italian Grand Prix,12,29,Footwork,#N/A,http://en.wikipedia.org/wiki/Footwork_Arrows,0,18,18,0
8448,316,n°12 - Italian Grand Prix,12,3,Williams,#N/A,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,93,2,2,5
